label,C,E,filteredDmvId,pairStart,Dmod30,P29Survivors,S17Survivors,tail1P29,tail2P29,tail4P29,firstBothG,trueK,K13_430Miss,K13_431Miss,fullCoverageBeforeRescue,verdict,legacyDmvId
small,979,1958,OPEN_AT_FIRST_SURVIVOR / D24 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,24,0,0,0,0,0,12,0.2530347401920166,false,false,false,RESCUED,11|11 / D24 / P29_LOW / TAIL_WEAK / KLOW / P|3;3|23
small,980,1960,OPEN_AT_FIRST_SURVIVOR / D6 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,6,0,0,0,0,0,3,0.06323993300294987,false,false,false,RESCUED,11|3 / D6 / P29_LOW / TAIL_WEAK / KLOW / 11|3
small,981,1962,OPEN_AT_FIRST_SURVIVOR / D20 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,20,0,0,0,0,0,10,0.21073736135673962,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;7|23
small,982,1964,OPEN_AT_FIRST_SURVIVOR / D0 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,0,0,0,0,0,0,15,0.31601255595445926,false,false,false,RESCUED,3|P / D0 / P29_LOW / TAIL_WEAK / KLOW / P|3;3|5
small,983,1966,P|23 / D0 / P29_LOW / TAIL_WEAK / KLOW,P|23,0,0,1,0,0,0,30,0.63183841285479,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,984,1968,OPEN_AT_FIRST_SURVIVOR / D14 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,14,0,0,0,0,0,7,0.14738546345121434,false,false,false,RESCUED,P|5 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;11|23
small,985,1970,31|P / D6 / P29_LOW / TAIL_WEAK / KLOW,31|P,6,1,1,1,1,1,48,1.0103453301074046,false,false,false,RESCUED,5|5 / D6 / P29_LOW / TAIL_WEAK / KLOW / P|3;3|P
small,986,1972,P|23 / D6 / P29_LOW / TAIL_WEAK / KLOW,P|23,6,0,1,0,0,0,33,0.6944079422106807,false,false,false,RESCUED,5|3 / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|5;5|3
small,987,1974,OPEN_AT_FIRST_SURVIVOR / D8 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,8,0,0,0,0,0,4,0.08414591119731375,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;5|23
small,988,1976,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,21,0.44163629312972624,false,false,false,RESCUED,3|23 / D12 / P29_LOW / TAIL_WEAK / KLOW / P|3;3|19
