label,C,E,filteredDmvId,pairStart,Dmod30,P29Survivors,S17Survivors,tail1P29,tail2P29,tail4P29,firstBothG,trueK,K13_430Miss,K13_431Miss,fullCoverageBeforeRescue,verdict,legacyDmvId
boss,3889129261038184,7778258522076368,L|L / D24 / P29_BOSS / TAIL_STRONG / K13,L|L,24,582,757,31,60,118,17307,13.4309400510447,true,false,false,BOSS_ROW,3|5 / D24 / P29_BOSS / TAIL_STRONG / K13 / 37|3;3|11
boss-20,3889129261038164,7778258522076328,L|P / D6 / P29_LOW / TAIL_STRONG / KLOW,L|P,6,37,47,28,37,37,873,0.6774837155233159,false,false,false,RESCUED,L|3 / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|11;7|3
boss-12,3889129261038172,7778258522076344,L|L / D0 / P29_LOW / TAIL_OK / KLOW,L|L,0,21,27,21,21,21,615,0.4772651604202052,false,false,false,RESCUED,3|L / D0 / P29_LOW / TAIL_WEAK / KLOW / 19|3;3|5
boss-10,3889129261038174,7778258522076348,19|P / D20 / P29_LOW / TAIL_MID / KLOW,19|P,20,10,13,10,10,10,145,0.11252593213159309,false,false,false,RESCUED,L|5 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;L|41
boss-6,3889129261038178,7778258522076356,19|L / D18 / P29_LOW / TAIL_STRONG / KLOW,19|L,18,33,40,30,33,33,849,0.6588587336532589,false,false,false,RESCUED,3|P / D18 / P29_LOW / TAIL_WEAK / KLOW / 19|3;3|5
boss-4,3889129261038180,7778258522076360,P|L / D8 / P29_LOW / TAIL_STRONG / KLOW,P|L,8,33,41,29,33,33,349,0.2708382780270758,false,false,false,RESCUED,P|L / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;L|11
boss-2,3889129261038182,7778258522076364,L|L / D18 / P29_LOW / TAIL_STRONG / KLOW,L|L,18,26,34,26,26,26,639,0.49589014229026196,false,false,false,RESCUED,L|3 / D18 / P29_LOW / TAIL_WEAK / KLOW / 3|L;5|3
boss+2,3889129261038186,7778258522076372,L|L / D4 / P29_LOW / TAIL_STRONG / KLOW,L|L,4,39,49,28,39,39,527,0.408973560229997,false,false,false,RESCUED,5|L / DOTHER / P29_LOW / TAIL_WEAK / KLOW / L|L;3|3
boss+4,3889129261038188,7778258522076376,L|L / D0 / P29_LOW / TAIL_STRONG / KLOW,L|L,0,34,41,29,34,34,975,0.756639888471057,false,false,false,RESCUED,L|3 / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|37;5|3
boss+6,3889129261038190,7778258522076380,L|47 / D24 / P29_LOW / TAIL_STRONG / KLOW,L|47,24,27,36,27,27,27,597,0.46329642401766263,false,false,false,RESCUED,3|L / D24 / P29_LOW / TAIL_WEAK / KLOW / P|3;3|5
boss+10,3889129261038194,7778258522076388,P|L / D6 / P29_LOW / TAIL_STRONG / KLOW,P|L,6,30,36,30,30,30,843,0.6542024881857447,false,false,false,RESCUED,47|3 / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|11;L|3
boss+12,3889129261038196,7778258522076392,47|L / D6 / P29_LOW / TAIL_MID / KLOW,47|L,6,6,8,6,6,6,183,0.14201548675918302,false,false,false,RESCUED,3|11 / D6 / P29_LOW / TAIL_WEAK / KLOW / 19|3;3|L
boss+20,3889129261038204,7778258522076408,L|L / D20 / P29_LOW / TAIL_MID / KLOW,L|L,20,13,14,13,13,13,175,0.135807159469164,false,false,false,RESCUED,7|5 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;L|L
hot,3209851851697528,6419703703395056,L|23 / D12 / P29_HIGH / TAIL_STRONG / K10,L|23,12,441,575,29,56,111,13161,10.323590888035527,false,false,false,RESCUED,3|17 / D12 / P29_HIGH / TAIL_OK / K10 / 17|3;3|17
hot-20,3209851851697508,6419703703395016,L|L / D18 / P29_LOW / TAIL_STRONG / KLOW,L|L,18,71,95,29,53,71,2199,1.7249127241691455,false,false,false,RESCUED,L|3 / D18 / P29_LOW / TAIL_WEAK / KLOW / 3|7;L|3
hot-12,3209851851697516,6419703703395032,47|L / D6 / P29_LOW / TAIL_OK / KLOW,47|L,6,17,21,17,17,17,483,0.3788689612431548,false,false,false,RESCUED,3|13 / D6 / P29_LOW / TAIL_WEAK / KLOW / L|3;3|11
hot-10,3209851851697518,6419703703395036,L|P / D10 / P29_LOW / TAIL_STRONG / KLOW,L|P,10,27,37,26,27,27,395,0.30984107596489885,false,false,false,RESCUED,13|7 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 7|11;3|3
hot-6,3209851851697522,6419703703395044,L|P / D18 / P29_LOW / TAIL_MID / KLOW,L|P,18,5,8,5,5,5,219,0.17178530540838693,false,false,false,RESCUED,3|L / D18 / P29_LOW / TAIL_WEAK / KLOW / L|3;3|L
hot-4,3209851851697524,6419703703395048,29|P / D16 / P29_LOW / TAIL_OK / KLOW,29|P,16,15,20,15,15,15,203,0.1592347808123404,false,false,false,RESCUED,L|5 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 5|41;3|3
hot-2,3209851851697526,6419703703395052,29|L / D6 / P29_LOW / TAIL_MID / KLOW,29|L,6,7,9,7,7,7,183,0.14354662506728225,false,false,false,RESCUED,5|3 / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|5;5|3
hot+2,3209851851697530,6419703703395060,L|P / D4 / P29_LOW / TAIL_STRONG / KLOW,L|P,4,45,60,26,45,45,497,0.38985067026469533,false,false,false,RESCUED,17|L / DOTHER / P29_LOW / TAIL_WEAK / KLOW / L|7;3|3
hot+4,3209851851697532,6419703703395064,L|L / D18 / P29_LOW / TAIL_MID / KLOW,L|L,18,5,9,5,5,5,189,0.14825307179079963,false,false,false,RESCUED,L|3 / D18 / P29_LOW / TAIL_WEAK / KLOW / 3|L;5|3
hot+6,3209851851697534,6419703703395068,L|P / D6 / P29_LOW / TAIL_OK / KLOW,L|P,6,18,24,18,18,18,543,0.4259334284783291,false,false,false,RESCUED,3|5 / D6 / P29_LOW / TAIL_WEAK / KLOW / 5|3;3|5
hot+10,3209851851697538,6419703703395076,L|L / D12 / P29_LOW / TAIL_OK / KLOW,L|L,12,23,33,23,23,23,741,0.581246170354405,false,false,false,RESCUED,P|3 / D12 / P29_LOW / TAIL_WEAK / KLOW / 3|5;L|3
hot+12,3209851851697540,6419703703395080,L|23 / D12 / P29_LOW / TAIL_STRONG / KLOW,L|23,12,68,84,30,60,68,1221,0.9577619082358009,false,false,false,RESCUED,3|L / D12 / P29_LOW / TAIL_WEAK / KLOW / P|3;3|L
hot+20,3209851851697548,6419703703395096,P|41 / D28 / P29_LOW / TAIL_MID / KLOW,P|41,28,8,12,8,8,8,179,0.14040899391827055,false,false,false,RESCUED,7|23 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 19|41;3|3
fullCover,3194349700443064,6388699400886128,L|P / D0 / P29_HIGH / TAIL_STRONG / K8,L|P,0,417,534,28,57,114,12225,9.591986184281602,false,false,false,RESCUED,3|5 / D0 / P29_HIGH / TAIL_OK / K8 / 43|3;3|11
fullCover-20,3194349700443044,6388699400886088,L|P / D0 / P29_LOW / TAIL_MID / KLOW,L|P,0,8,11,8,8,8,225,0.17653962302358783,false,false,false,RESCUED,47|3 / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|5;19|3
fullCover-12,3194349700443052,6388699400886104,47|L / D18 / P29_LOW / TAIL_STRONG / KLOW,47|L,18,61,78,29,56,61,1839,1.4429171855127911,false,false,false,RESCUED,3|L / D18 / P29_LOW / TAIL_WEAK / KLOW / L|3;3|7
fullCover-10,3194349700443054,6388699400886108,19|P / D26 / P29_LOW / TAIL_MID / KLOW,19|P,26,11,14,11,11,11,163,0.12789314912375468,false,false,false,RESCUED,L|5 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;L|5
fullCover-6,3194349700443058,6388699400886116,19|P / D18 / P29_LOW / TAIL_MID / KLOW,19|P,18,5,7,5,5,5,159,0.12475466693666869,false,false,false,RESCUED,3|P / D18 / P29_LOW / TAIL_WEAK / KLOW / L|3;3|5
fullCover-4,3194349700443060,6388699400886120,P|L / D22 / P29_LOW / TAIL_STRONG / KLOW,P|L,22,25,35,25,25,25,311,0.24401699004593688,false,false,false,RESCUED,P|L / DOTHER / P29_LOW / TAIL_WEAK / KLOW / L|L;3|3
fullCover-2,3194349700443062,6388699400886124,L|L / D0 / P29_LOW / TAIL_STRONG / KLOW,L|L,0,36,46,29,36,36,885,0.6943891838927786,false,false,false,RESCUED,L|3 / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|L;L|3
fullCover+2,3194349700443066,6388699400886132,L|L / D10 / P29_LOW / TAIL_MID / KLOW,L|L,10,9,12,9,9,9,125,0.09807756834643765,false,false,false,RESCUED,5|P / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 5|11;3|3
fullCover+4,3194349700443068,6388699400886136,L|P / D12 / P29_LOW / TAIL_MID / KLOW,L|P,12,3,4,3,3,3,81,0.06355426428849159,false,false,false,RESCUED,P|3 / D12 / P29_LOW / TAIL_WEAK / KLOW / 3|5;11|3
fullCover+6,3194349700443070,6388699400886140,P|L / D18 / P29_LOW / TAIL_MID / KLOW,P|L,18,4,7,4,4,4,129,0.10121605053352366,false,false,false,RESCUED,3|L / D18 / P29_LOW / TAIL_WEAK / KLOW / 5|3;3|L
fullCover+10,3194349700443074,6388699400886148,OPEN_AT_FIRST_SURVIVOR / D0 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,0,0,0,0,0,0,15,0.011769308201572518,false,false,false,RESCUED,L|3 / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|5;L|3
fullCover+12,3194349700443076,6388699400886152,L|29 / D6 / P29_LOW / TAIL_STRONG / KLOW,L|29,6,42,53,28,42,42,993,0.7791282029441003,false,false,false,RESCUED,3|11 / D6 / P29_LOW / TAIL_WEAK / KLOW / 11|3;3|11
fullCover+20,3194349700443084,6388699400886168,29|P / D10 / P29_LOW / TAIL_MID / KLOW,29|P,10,11,15,11,11,11,185,0.14515480115272766,false,false,false,RESCUED,7|5 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / L|5;3|3
tailWeak,3889134139471741,7778268278943482,31|P / D0 / P29_HIGH / TAIL_STRONG / K8,31|P,0,404,527,28,56,114,12030,9.335771509911405,false,false,false,RESCUED,L|L / D0 / P29_HIGH / TAIL_OK / K8 / 5|3;3|11
tailWeak-20,3889134139471721,7778268278943442,19|L / D6 / P29_LOW / TAIL_STRONG / KLOW,19|L,6,58,76,29,56,58,1338,1.0383426666884013,false,false,false,RESCUED,7|7 / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|5;5|3
tailWeak-12,3889134139471729,7778268278943458,L|L / D0 / P29_LOW / TAIL_STRONG / KLOW,L|L,0,92,120,27,57,92,2880,2.2349976682082167,false,false,false,RESCUED,31|31 / D0 / P29_LOW / TAIL_WEAK / KLOW / 11|3;3|23
tailWeak-10,3889134139471731,7778268278943462,31|L / D4 / P29_LOW / TAIL_STRONG / KLOW,31|L,4,67,87,31,57,67,992,0.7698325301606079,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 23|L;3|3
tailWeak-6,3889134139471735,7778268278943470,31|L / D18 / P29_LOW / TAIL_STRONG / KLOW,31|L,18,98,132,27,55,98,1704,1.3223736203565282,false,false,false,RESCUED,5|5 / D18 / P29_LOW / TAIL_WEAK / KLOW / 5|3;3|L
tailWeak-4,3889134139471737,7778268278943474,L|L / D22 / P29_LOW / TAIL_MID / KLOW,L|L,22,2,4,2,2,2,56,0.04345828799293755,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 5|13;3|3
tailWeak-2,3889134139471739,7778268278943478,P|L / D24 / P29_LOW / TAIL_STRONG / KLOW,P|L,24,51,65,29,51,51,1482,1.1500925500988115,false,false,false,RESCUED,L|L / D24 / P29_LOW / TAIL_WEAK / KLOW / 3|17;17|3
tailWeak+2,3889134139471743,7778268278943486,L|19 / D10 / P29_LOW / TAIL_STRONG / KLOW,L|19,10,46,62,26,46,46,710,0.5509890084818868,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / L|7;3|3
tailWeak+4,3889134139471745,7778268278943490,L|L / D18 / P29_LOW / TAIL_MID / KLOW,L|L,18,5,6,5,5,5,114,0.08846865769990858,false,false,false,RESCUED,5|5 / D18 / P29_LOW / TAIL_WEAK / KLOW / 3|5;13|3
tailWeak+6,3889134139471747,7778268278943494,L|P / D18 / P29_LOW / TAIL_STRONG / KLOW,L|P,18,45,60,28,45,45,1404,1.0895613632515055,false,false,false,RESCUED,19|19 / D18 / P29_LOW / TAIL_WEAK / KLOW / L|3;3|7
tailWeak+10,3889134139471751,7778268278943502,L|37 / D0 / P29_LOW / TAIL_MID / KLOW,L|37,0,5,6,5,5,5,120,0.09312490284200903,false,false,false,RESCUED,L|L / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|11;13|3
tailWeak+12,3889134139471753,7778268278943506,19|L / D18 / P29_LOW / TAIL_MID / KLOW,19|L,18,7,11,7,7,7,294,0.22815601196292212,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
tailWeak+20,3889134139471761,7778268278943522,P|37 / D4 / P29_LOW / TAIL_STRONG / KLOW,P|37,4,44,63,25,44,44,692,0.5370202730555852,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / L|7;3|3
corridor,3912698353475078,7825396706950156,L|L / D0 / P29_HOT / TAIL_STRONG / K10,L|L,0,457,561,28,59,122,12915,10.019195344119744,false,false,false,RESCUED,L|3 / D0 / P29_HOT / TAIL_OK / K10 / 3|13;5|3
corridor-20,3912698353475058,7825396706950116,L|19 / D20 / P29_LOW / TAIL_STRONG / KLOW,L|19,20,36,51,25,36,36,475,0.3684953765742842,false,false,false,RESCUED,L|19 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;5|L
corridor-12,3912698353475066,7825396706950132,L|L / D0 / P29_LOW / TAIL_STRONG / KLOW,L|L,0,120,166,26,54,104,3825,2.967357506098183,false,false,false,RESCUED,5|3 / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|7;7|3
corridor-10,3912698353475068,7825396706950136,19|L / D0 / P29_LOW / TAIL_WEAK / KLOW,19|L,0,0,1,0,0,0,15,0.011636696102345818,false,false,false,RESCUED,3|L / D0 / P29_LOW / TAIL_WEAK / KLOW / L|3;3|31
corridor-6,3912698353475072,7825396706950144,L|31 / D0 / P29_LOW / TAIL_MID / KLOW,L|31,0,4,4,4,4,4,75,0.058183480511729085,false,false,false,RESCUED,P|3 / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|31;11|3
corridor-4,3912698353475074,7825396706950148,P|L / D24 / P29_LOW / TAIL_STRONG / KLOW,P|L,24,28,36,28,28,28,837,0.6493276425108966,false,false,false,RESCUED,3|5 / D24 / P29_LOW / TAIL_WEAK / KLOW / L|3;3|41
corridor-2,3912698353475076,7825396706950152,P|31 / D20 / P29_LOW / TAIL_STRONG / KLOW,P|31,20,46,56,28,46,46,595,0.46158894539305056,false,false,false,RESCUED,5|L / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;37|P
corridor+2,3912698353475080,7825396706950160,L|P / D12 / P29_LOW / TAIL_STRONG / KLOW,L|P,12,41,53,28,41,41,861,0.6679463562746497,false,false,false,RESCUED,3|31 / D12 / P29_LOW / TAIL_WEAK / KLOW / 19|3;3|L
corridor+4,3912698353475082,7825396706950164,31|P / D8 / P29_LOW / TAIL_MID / KLOW,31|P,8,4,5,4,4,4,79,0.06128659947235461,false,false,false,RESCUED,31|P / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;5|L
corridor+6,3912698353475084,7825396706950168,L|L / D24 / P29_LOW / TAIL_STRONG / KLOW,L|L,24,44,58,26,44,44,1347,1.044975309990654,false,false,false,RESCUED,P|3 / D24 / P29_LOW / TAIL_WEAK / KLOW / 3|19;L|3
corridor+10,3912698353475088,7825396706950176,L|L / D2 / P29_LOW / TAIL_STRONG / KLOW,L|L,2,29,39,27,29,29,451,0.34987666281053076,false,false,false,RESCUED,11|41 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;L|P
corridor+12,3912698353475090,7825396706950180,31|L / D24 / P29_LOW / TAIL_STRONG / KLOW,31|L,24,46,61,26,46,46,1077,0.8355147801484294,false,false,false,RESCUED,41|3 / D24 / P29_LOW / TAIL_WEAK / KLOW / 3|L;5|3
corridor+20,3912698353475098,7825396706950196,P|L / D0 / P29_LOW / TAIL_OK / KLOW,P|L,0,23,29,23,23,23,585,0.4538311479914867,false,false,false,RESCUED,3|L / D0 / P29_LOW / TAIL_WEAK / KLOW / L|3;3|7
small,2,4,NO_SURVIVOR / DMISS / P29_LOW / TAIL_WEAK / KLOW,NO_SURVIVOR,,0,0,0,0,0,,,true,true,true,FULL_COVERAGE_FOUND,L|P / D12 / P29_LOW / TAIL_WEAK / K13 / 3|P;19|3
small,3,6,NO_SURVIVOR / DMISS / P29_LOW / TAIL_WEAK / KLOW,NO_SURVIVOR,,0,0,0,0,0,,,true,true,true,FULL_COVERAGE_FOUND,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,4,8,OPEN_AT_FIRST_SURVIVOR / D2 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,2,0,0,0,0,0,1,0.5203422452514019,false,false,false,RESCUED,OPEN_AT_G0 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 
small,5,10,OPEN_AT_FIRST_SURVIVOR / D4 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,4,0,0,0,0,0,2,0.7721142018083943,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,6,12,OPEN_AT_FIRST_SURVIVOR / D2 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,2,0,0,0,0,0,1,0.3114874714694258,false,false,false,RESCUED,OPEN_AT_G0 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 
small,7,14,OPEN_AT_FIRST_SURVIVOR / D8 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,8,0,0,0,0,0,4,1.0563660251615101,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,8,16,OPEN_AT_FIRST_SURVIVOR / D6 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,6,0,0,0,0,0,3,0.6937896603352027,false,false,false,RESCUED,P|3 / D6 / P29_LOW / TAIL_WEAK / KLOW / P|3
small,9,18,OPEN_AT_FIRST_SURVIVOR / D4 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,4,0,0,0,0,0,2,0.4142677248451115,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3
small,10,20,OPEN_AT_FIRST_SURVIVOR / D6 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,6,0,0,0,0,0,3,0.5658350910348416,false,false,false,RESCUED,3|P / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|P
small,11,22,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,6,1.0434960929821546,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,12,24,OPEN_AT_FIRST_SURVIVOR / D2 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,2,0,0,0,0,0,1,0.161949586482928,false,false,false,RESCUED,OPEN_AT_G0 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 
small,13,26,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,6,0.9119975272427026,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,14,28,OPEN_AT_FIRST_SURVIVOR / D6 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,6,0,0,0,0,0,3,0.43074833286610714,false,false,false,RESCUED,P|3 / D6 / P29_LOW / TAIL_WEAK / KLOW / P|3
small,15,30,OPEN_AT_FIRST_SURVIVOR / D4 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,4,0,0,0,0,0,2,0.2727197397733305,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3
small,16,32,OPEN_AT_FIRST_SURVIVOR / D6 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,6,0,0,0,0,0,3,0.3902566839385515,false,false,false,RESCUED,3|P / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|P
small,17,34,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,6,0.7474681522418197,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,18,36,OPEN_AT_FIRST_SURVIVOR / D2 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,2,0,0,0,0,0,1,0.1196995698965111,false,false,false,RESCUED,OPEN_AT_G0 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 
small,19,38,OPEN_AT_FIRST_SURVIVOR / D24 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,24,0,0,0,0,0,12,1.3841276017528665,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,20,40,OPEN_AT_FIRST_SURVIVOR / D6 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,6,0,0,0,0,0,3,0.33428374455436927,false,false,false,RESCUED,P|3 / D6 / P29_LOW / TAIL_WEAK / KLOW / P|3
small,21,42,OPEN_AT_FIRST_SURVIVOR / D4 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,4,0,0,0,0,0,2,0.2157702861264901,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3
small,22,44,OPEN_AT_FIRST_SURVIVOR / D18 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,18,0,0,0,0,0,9,0.9419602358339183,false,false,false,RESCUED,3|P / D18 / P29_LOW / TAIL_WEAK / KLOW / P|3;3|P
small,23,46,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,6,0.610294199779205,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,24,48,OPEN_AT_FIRST_SURVIVOR / D10 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,10,0,0,0,0,0,5,0.49504822328587633,false,false,false,RESCUED,P|5 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / P|5;3|3
small,25,50,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,6,0.5790856513562957,false,false,false,RESCUED,5|5 / D12 / P29_LOW / TAIL_WEAK / KLOW / P|3;3|P
small,26,52,OPEN_AT_FIRST_SURVIVOR / D6 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,6,0,0,0,0,0,3,0.28261379567640466,false,false,false,RESCUED,5|3 / D6 / P29_LOW / TAIL_WEAK / KLOW / 5|3
small,27,54,OPEN_AT_FIRST_SURVIVOR / D8 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,8,0,0,0,0,0,4,0.3682379776400991,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;5|P
small,28,56,OPEN_AT_FIRST_SURVIVOR / D18 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,18,0,0,0,0,0,9,0.8105488868573996,false,false,false,RESCUED,3|P / D18 / P29_LOW / TAIL_WEAK / KLOW / P|3;3|5
small,29,58,OPEN_AT_FIRST_SURVIVOR / D24 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,24,0,0,0,0,0,12,1.0583241367583542,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,30,60,OPEN_AT_FIRST_SURVIVOR / D2 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,2,0,0,0,0,0,1,0.08644429323049818,false,false,false,RESCUED,OPEN_AT_G0 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 
small,31,62,OPEN_AT_FIRST_SURVIVOR / D24 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,24,0,0,0,0,0,12,1.0176159393009365,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,32,64,OPEN_AT_FIRST_SURVIVOR / D18 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,18,0,0,0,0,0,9,0.7492928331620189,false,false,false,RESCUED,P|3 / D18 / P29_LOW / TAIL_WEAK / KLOW / 3|P;5|3
small,33,66,OPEN_AT_FIRST_SURVIVOR / D8 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,8,0,0,0,0,0,4,0.3271832392465611,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;P|5
small,34,68,OPEN_AT_FIRST_SURVIVOR / D6 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,6,0,0,0,0,0,3,0.24125028346232447,false,false,false,RESCUED,3|5 / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|5
small,35,70,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,6,0.47466477407823693,false,false,false,RESCUED,5|5 / D12 / P29_LOW / TAIL_WEAK / KLOW / 3|P;P|3
small,36,72,OPEN_AT_FIRST_SURVIVOR / D10 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,10,0,0,0,0,0,5,0.38935933933678224,false,false,false,RESCUED,5|P / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 5|P;3|3
small,37,74,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,6,0.46016758083441395,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,38,76,OPEN_AT_FIRST_SURVIVOR / D18 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,18,0,0,0,0,0,9,0.6801675867022062,false,false,false,RESCUED,P|3 / D18 / P29_LOW / TAIL_WEAK / KLOW / 3|P;P|3
